,Home Team,Away Team,year,league,Home_win,Draw_win,Away_win,HT_results,AT_results
2378,LEICESTER CITY,FULHAM,2020,english,0.5218952624541816,0.29594424550072285,0.1821604920450955,"['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw', 'win']","['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'lose']"
2379,WEST HAM,ASTON VILLA,2020,english,0.45311098179617865,0.30548920766600873,0.24139981053781276,"['lose', 'win', 'draw', 'win', 'win', 'lose', 'draw', 'draw', 'win']","['win', 'win', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'lose']"
2380,BURNLEY,EVERTON,2020,english,0.3910971471755024,0.28159116257120975,0.3273116902532877,"['lose', 'lose', 'lose', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win']","['win', 'win', 'draw', 'lose', 'lose', 'win', 'win', 'lose', 'lose', 'draw']"
2381,MAN CITY,FULHAM,2020,english,0.593475946364877,0.3063084254541835,0.10021562818093945,"['win', 'lose', 'win', 'draw', 'win', 'win', 'draw', 'win', 'win', 'win']","['lose', 'lose', 'lose', 'win', 'lose', 'draw', 'draw', 'draw', 'lose', 'lose']"
2382,WEST HAM,MAN UTD,2020,english,0.46538934698330214,0.33549937568837424,0.1991112773283237,"['lose', 'win', 'draw', 'win', 'win', 'lose', 'draw', 'draw', 'win', 'win']","['lose', 'lose', 'draw', 'lose', 'win', 'draw', 'win', 'win', 'win', 'lose']"
2383,CHELSEA,LEEDS UTD,2020,english,0.6247639505793331,0.2786280935149279,0.09660795590573887,"['lose', 'win', 'draw', 'win', 'draw', 'win', 'win', 'draw', 'lose', 'draw']","['win', 'draw', 'lose', 'lose', 'draw', 'lose', 'win', 'win', 'win', 'lose']"
2384,WEST BROM,CRYSTAL PALACE,2020,english,0.2955037418293477,0.26087814062703085,0.4436181175436214,"['lose', 'draw', 'draw', 'lose', 'win', 'lose', 'lose', 'lose', 'lose', 'lose']","['win', 'lose', 'draw', 'win', 'lose', 'draw', 'lose', 'draw', 'win', 'lose']"
2385,SHEFFIELD UTD,LEICESTER CITY,2020,english,0.2517408128128713,0.2540383788927498,0.49422080829437876,"['lose', 'lose', 'draw', 'lose', 'lose', 'lose', 'lose', 'lose', 'win', 'lose']","['win', 'lose', 'lose', 'win', 'lose', 'win', 'lose', 'draw', 'win', 'win']"
2386,TOTTENHAM,ARSENAL,2020,english,0.6805270820151114,0.18212010312046686,0.13735281486442166,"['lose', 'draw', 'draw', 'win', 'win', 'win', 'lose', 'draw', 'win', 'lose']","['win', 'win', 'lose', 'lose', 'lose', 'lose', 'draw', 'win', 'draw', 'win']"
2387,LIVERPOOL,WOLVES,2020,english,0.5913000445658737,0.2843511024947418,0.12434885293938447,"['win', 'win', 'win', 'win', 'win', 'win', 'win', 'draw', 'lose', 'draw']","['lose', 'win', 'draw', 'win', 'draw', 'lose', 'win', 'draw', 'lose', 'lose']"
